# FD Stress Suite - Normalized Winding Stability Results
# T_center = 1000.0, H_window = 50.0, N_ordinates = 80
# collapse_thresh = 0.5
######################################################################
           ε     W_base     W_pert  RelChange        Drift  Collapsed
    1.00e-06     -0.031     -0.031      0.000    1.975e-04          0
    2.15e-06     -0.031     -0.031      0.000    5.256e-04          0
    4.64e-06     -0.031     -0.031      0.000    9.796e-04          0
    1.00e-05     -0.031     -0.031      0.000    2.437e-03          0
    2.15e-05     -0.031     -0.031      0.000    5.173e+00          0
    4.64e-05     -0.031     -0.031      0.000    1.050e-02          0
    1.00e-04     -0.031     -0.032      0.032    1.029e+01          0
    2.15e-04     -0.031     -0.031      0.000    4.019e+00          0
    4.64e-04     -0.031     -0.035      0.129    3.131e+01          0
    1.00e-03     -0.031     -0.036      0.177    2.430e+01          0
